Name,Rating,Review Title,Review Date,Review Content
Kevin Warrington,4.0 out of 5 stars,Does the job...,Reviewed in the United Kingdom on 28 February 2021,"TV without an aerial connection and no smart apps, so a simple Fire stick seemed to be the best solution. Everything needed is in the box and set up is simple. Loads of additional apps to download if needed and the only tedious bit is registering your account for each of the streaming apps, whihc took a little time.Video output is 720P, whihc is a bit odd as it is a 1080P TV - and I can't see any option to change this. As it is a small screen and we mostly use it to listen to radio stations, it isn't a problem.Cannot get the hang of using Alexa, so just use the simple remote control.I've found a couple of minor problems: first, if I turn the TV off, when I turn it back on again, the sound is lost and I need to power cycle the Firestick to recover. secondly, there is no obvious way to turn the firestick off, other than removing power, so it seems that it will sit there streaming data all the time.In summary - it does what I needed and hoped it would do and was **MUCH** cheaper than the alternatives of installing an aerial lead or buying a new smart TV"
RKaur,4.0 out of 5 stars,"Affordable, does the job",Reviewed in the United Kingdom on 16 January 2021,"I bought this after my Sky box stopped working and my TV does not connect well to the wireless. It provides access to the main apps. Picture quality is good for the price. Maybe not as sharp and sometimes it goes a little blocky with busy pictures like birds flying on animal programmes, but it is negligible. I haven't tried Alexa on it.It did have a couple of glitches with sound disappearing after switching the TV off and on without sending the stick to sleep first and buffering, but switching the stick off or restarting fixed it. No major problems so far. It also has mirroring.The home menu could be better to access the apps, it instead has a strip of some of your apps. The rest of the screen has recommended programmes and promotional material. You have to go into another page to see all your downloaded apps.It was too wide to slot into the side HDMI port on the TV. I had another HDMI cable in the back of the TV so had to use the extension for the stick because there was not enough room for it. It does hang down as a result but hasn't disconnected. It plugs in with USB to plug, although it could probably be slotted into a USB port on the TV for power.Overall, a cheap way to access apps if TV isn't smart or has wireless problems. Maybe expensive models have better picture quality but it is acceptable on this one. Does the job and I would recommend it. I might try the next model up at some point and keep this for the spare TV."
EddieB,5.0 out of 5 stars,Nice price and works well,Reviewed in the United Kingdom on 10 January 2021,"There are already so many good feedback points made that there is little I can add other than it was almost a simple plug and play once I had realised it was the the network password and not the Router needed.I am 70 years old and had computers ever since they evolved from simple 1MB games machines, so I am pretty well up on techy bits and I found this streaming add-on way simpler than others I played around with (cheap versions) over the last 5 or 6 years. Great picture and virtually no time lapse.The time lapse that I mean are the many you get when using other systems . A TV in one room using Freeview is a fraction ahead of the TV using Virgin Tivo boxes and even then if you look at The BBC news on 601 (on Virgin) and the BBC news on 101 (still on Virgin) the images are a good second later on 601. I can watch BBC TV on my PC stream it to the Lounge and finding, loading and playing is way faster than watching it on the slow buffering Virgin Tivo boxes."
Martin Koss,1.0 out of 5 stars,Dreadful - No sound through HDMI - only Bluetooth,Reviewed in the United Kingdom on 25 February 2021,"I have an original FireStick and other than being painfully slow, it worked.This is the second of the new versions (I originally bought the 4K version to have on a 4K monitor on my desk but that failed because the 4K only works on a Smart TV (as tech support told me) so I bout the 'lite' version (as advised by Amazon Tech Support) but it too does not output any sound via HDMI, only BlueTooth.I have spent hours looking at so many 'tips' on the web about how to fix this but nothing worked.I even did a factory reset and still no sound through HDMI.I know all my cables and the system works because I have a HDMI BluRay player in the same system and the sound gets to my sound bar absolutely fine - but not from the FireStick. I've swapped cables, tested everything and everything works except sound from FireTV / FireStick Lite. Terrible system.Very badly designed.Would NOT recommend this."
Organum,4.0 out of 5 stars,Fab but pity about the USB power,Reviewed in the United Kingdom on 1 December 2020,"Amazed at how much faster is than my old stick. Really responsive and apps like Britbox fully useable now.My only gripe, hence the 4 stars, is that when using the TV as the power source (like my last stick) periodically a warning comes up tha not enough power is supplied but the unit works just fine. To have a power lead dangling down the wall for an adapter is a no no in my hour !"
T. I. Charlesworth,5.0 out of 5 stars,Fantastic product  !,Reviewed in the United Kingdom on 2 February 2021,"I bought this as my Sony Bravia 5 year old smart TV has never been able to get ITV and is now saying that BBC iplayer is overloading it . Very poor and has put me off the brand . I was eying up a new TV to get over these issues, despite the TV still delivering an excellent picture.  Starting to feel a bit miffed over spending another £600 when I thought of getting a fire stick. For under £20 I have now got a fully functioning smart TV . ITV , no problem  BBC no problem........what is even more amazing is that my Sony TV appears to have  "" learned "" how to operate the fire stick so I only have to use the one remote ! I have no idea how this happened , it was certainly nothing I did , I'm not that clever.  Great product.  So pleased ,that the next TV I buy for a different room may be a non smart model with a fire stick....I'm thinking that,  knowing Amazon , it may be more "" future proof "" ."
Peter C,5.0 out of 5 stars,Latest Addition to the Fire stick Range,Reviewed in the United Kingdom on 19 January 2021,"I bought the Fire stick lite in the recent Black Friday sale, a great price for for an entry level product.  Firstly, I would say the streaming quality at the max 1080p is really smooth with no buffering or juddering during playback. Comes with the latest Amazon launcher interface which is a welcome addition. As a user of NowTV this is now available on the Lite and works great.  On a down side the 1GB memory is very small considering the lite uses around 650mb to run leaving you with 350mb to run your programs like Netflix, Amazon Prime, Youtube and other apps you might add.  If you don't have an 4K TV this would be a great chose for casual use.  Finally, to get the best performance from this product regularly restart the fire stick to refresh the memory to keep it performing at it's it peak, however I would recommend you do this on whichever fire stick you own, it's just good house keeping."
Becky287,3.0 out of 5 stars,Faulty,Reviewed in the United Kingdom on 29 December 2020,"When it works, it’s fine. First one was faulty and had to be returned. Had our replacement for a couple of weeks now and beginning to see a similar fault. When the tv is first turned on the firestick isn’t detected and the remote won’t turn it on (tv shows no input detected) so having to resort to unplugging and plugging it back in. This is not a consistent fault with this replacement, and our original firestick (fully working just replaced by the firestick lite to include Alexa voice search) was in the same HDMI port without issue so I have to believe it’s a fault with the product..."
E. King,5.0 out of 5 stars,"Good stick. Had problems with the stick freezing/locking up, problem is resolved now.",Reviewed in the United Kingdom on 9 March 2021,"I had problems with the stick freezing up, I'd start watching something and after a short time the picture would freeze and the remote wouldnt work (also happened in the menus when left idling). But it turned out not to be the stick but instead my TV. I had to switch my TV from HDMI_2 to HDMI_1 then back to HDMI_2 and everything came back to life. Weird, I have a basic TV, but on the other hand I never had problems with HDMI_2 before when I had a dvd player plugged in to it.FireTV Support take notice of this, because when you gave me support you didn't suggest testing the TV, instead you had me checking for updates and factory resetting the FireTV stick, which didn't solve the problem.I notice in the reviews many people mention the stick freezing up, maybe there is a problem with the stick telling the TV's HDMI input that the stick is alive, so to speak."
John Robson,1.0 out of 5 stars,"Absolutely a PIA to pair, can't get any response ..... so frustrating",Reviewed in the United Kingdom on 26 March 2021,"A piece of technology like this should pair straight out of the box, it did not. Since the functioning of the device depends on the pairing of the remote (yes I know there is an app, why doesn't it recognise my Amazon sign in password?) you would expect it to be pre-paired to enable plug and play operation, it was not. Then you would hope that the fundamental task of resetting the pairing would be simple, no it is not, anything but! Following the instructions on Amazons own site did not pair the device, nor did any of the many other web sites instructions. This is so basic and fundamental that a switched on company would make this a simple seamless operation, Amazon I am afraid this is definitely not.  Please rethink, why no simple pairing button or pairing code system? Really, come on, get a grip. All the other functionality may be great but if you can't 'fire up' your Firestick....."
wanderer,5.0 out of 5 stars,Does what it should well,Reviewed in the United Kingdom on 30 November 2020,"Bought for bedroom TV so TV remote function of no interest ,Set up took around 15 minutes ,10 of those updating , Longest part , logging into various accounts ,5 minutes in Settings adjusting video and audio to TV and job done ,One of 3 Firestick in the house so used to operation and all working seamlessly , Easily install couple of third party apps which are working as they should, Don't bother with Alexa on any of the Firesticks ,have 5 Echos around the house so no real point ,Same with voice control ,find remote control quicker ,Never had any issues with Firestick , always mains powered ,using TV USB can cause way too many issues , Keep Bluetooth devices to a minimum ,can interfere with 2.4 g wifi , otherwise ,enjoy ,Read all the product details before you buy ,"
C,1.0 out of 5 stars,If you have to return a faulty one dont send the cables or plug with it,Reviewed in the United Kingdom on 15 March 2021,This was a replacement for a faulty fire stick. I was told to send the original one back with everything apart from the remote control. When the reconditioned replacement arrived it was on its own with no cables. I can’t tell you how difficult it’s been to get the cables replaced. I did get the HDML extension lead sent and I have had a credit for a long HDML lead but I’ve no plug and it’s too difficult to try to get this resolved
clive squire,5.0 out of 5 stars,Fire tv lite,Reviewed in the United Kingdom on 20 December 2020,This has to be one of the best purchases I have made on amazon in 8 years!!! I can't wait to leave my current TV supplier there is more legal channels & movieson the fire tv lite than I will watch in my lifetime so many great apps available also I got mine Via Alexa so I saved 20 quid now I think it's 17.99!!! Absolute bargain we also have Netflix & Disney subscriptions and now I also have Amazon prime with Amazon music all integrated nicely also the latest update is nice and fresh if you like tv and movies it's a must I will probably never go out again!!!!!! Thanks.
Nick,5.0 out of 5 stars,Five star performance - as expected,Reviewed in the United Kingdom on 11 December 2020,"We're a household that already has an Amazon Echo, several Echo Dots, a Fire tablet and integrated Nest thermostat so we're very familiar with Alexa. Not having the absolute newest TV I went for the Lite version of the Fire TV Stick as I didn't expect the TV to support full control.Pleasantly surprised to find that the Fire Stick can actually turn the TV on and off so all that's missing really is volume control which is no biggie. Also pleasantly surprised to find how easy it is to integrate the Fire Stick with Alexa so almost everything you need to do can be done by talking to the Echo in the room. We haven't explored many of the multitude of apps available yet. We got this item in late November 2020 so we've been binge-watching West Wing on All4 in order to remind ourselves what it's like to have intelligent, capable people in the White House and get up to speed before January. Oh, before I go I should also point out that there's a  very good Android app (other phones are available) so pretty much everything the standard Fire Stick remote can do can be done from your phone.So to sum up: We expected the setup and operation to be really easy and it was. Quality of service is excellent with glitch-free viewing. It integrates well with Alexa and the apps work exactly as they should. Brilliantly simple and simply brilliant."
Amazon Customer,2.0 out of 5 stars,"It’s a right faff, don’t bother",Reviewed in the United Kingdom on 21 December 2020,"Very hard to navigate with so many different apps and subscription channels convoluting it all.I pay for prime video and therefore want easy access to the channels that are included and already covered by my membership/subscription payments. Yet when searching for anything I am always directed to pay per view channels such as Starplayz, which I have absolutely no interest in when I already pay a subscription for prime video.The latest update looks to have tidied things up a little, however I have had to manually reinstate all my user profiles and my child can no longer access his profile at all because “Child profiles are not supported on Fire TV at this time”! Seriously! This is unbelievable! The schools have broken up for the Christmas holidays and my child cannot watch any of his shows or films! Absolutely ridiculous!The other issue I have is with the remote... When using the function ring to skip back and forth, it is far too easy to accidentally press the Home button instead of the Play/Pause button. This may seem an insignificant design flaw, but when you have accidentally hit it and been taken back to the Home Screen to then have to log back into prime video, select your profile and then hunt for the show you were just watching (because it’s not set out very well at all and there is no clear “continue watching” option) for the twentieth time, it becomes rather infuriating and that is when it gets turned off and I switch back to NowTV.So if I were you, just get NowTV and don’t bother with all this faff."
Clementi,2.0 out of 5 stars,Just had SECOND fire stick break,Reviewed in the United Kingdom on 2 April 2021,"Yet again, the Fire Stick has broken.  I’ve used ALL Amazon power sources and connectors (they will tell you to use them if yours breaks),  streaming fine and suddenly just broke.  No real reset despite them giving you rather silly instructions.  And now, the second one has broken.  Amazon say ‘buy another one’ (cheek of it), I say forget it.Seriously, when one broke I thought ‘OK, maybe it’s a one-off’ and bought another, but now the second one has broken.It’s a joke.  Yes, I can use the app, but I pay for channels and you can ONLY receive the channels via the stick.Amazon:  Either make a stick which works for a sensible amount of time, of ensure that ALL of the channels are available on the app.  This is nuts."
J. P. Thompson,5.0 out of 5 stars,Bringing a TV into the 21st century !,Reviewed in the United Kingdom on 24 February 2021,"This is an easy way to bring an old tv up to date by allowing you to watch all the streaming and catch up services available. I have a LG tv from 2010, so it`s only HD and therefore I didn`t need the Fire 4K version. But this still gives a decent picture on a portable telly. I`ve only installed a few services so far (iPlayer,All4 and Youtube) but that`s plenty to watch for now. It`s easy enogh to set up-just plug it in to the back of the tv and power it up.Then it updates itself and you then add the apps you want. I don`t use Alexa , so can`t say how well it works. But the thing I like most is that I`m in charge of what to watch,so if there`s only rubbish on the main channels I can always find something to watch that I enjoy on Prime or YT."
Soyful Alam,5.0 out of 5 stars,Amazon Fire TV Stick Lite,Reviewed in the United Kingdom on 19 November 2020,Purchased this to replace my 2nd Generation Firestick for the bedroom which was a few years old.It’s a lot smaller then my previous Fire TV Stick.The interface is much quicker as well.It doesn’t lose much speed when using Wi-Fi.Only downside is the side loaded Apps do not show the picture in the icon on the Home Screen but this is a minor issue.I still have the 2nd Generation Fire TV box in the living room and they are both running on the Quad Processor.All in all I’m happy with the purchase and I got it for the reduced price of £19.99 which in my opinion is a bargain.I’m waiting for the next Generation Fire TV Box or Cube to upgrade the living room box which is over 5 years old now.5 stars from me.
R-Dodger,5.0 out of 5 stars,"Very good, very fast.",Reviewed in the United Kingdom on 30 November 2020,"Update:-I've had this Lite Fire Stick for a while now and I must say that it is still blazingly fast, far faster than all my other Firesticks, even my 4K stick. It was upgraded to OS 7 some time ago and I like the new UI, but for the price it is far and away the fastest streaming stick I own, the response to button presses on it's remote are near instantaneous. Full disclosure; I do have it hooked up to ethernet via a third party adaptor.This unit replaced a much older iteration of the fire stick and I must say that the difference is like night and day. The fire stick light is so fast at responding to the remote control that I couldn't believe it. The picture quality is very very good. If you don't need the volume controls on the more expensive fire sticks, then get this one."
Chris,4.0 out of 5 stars,Paying Amazon to advertise themselves,Reviewed in the United Kingdom on 2 May 2021,"Purchased for 2 reasons: 1. To get the UKTVPlay player, as my old TV can't get it, and specifically chose Fire TV Stick, since you can get an Ethernet adapter for it, which I also bought, as it is connected via Powerline Adapters, not Wi-Fi. One can edit which apps are on the main screen, except Amazon ones, so even thought I've not signed up to Prime, I'm stuck with them being continuously pushed in my face. Since Amazon have a credit card associated with my account, I'm scared to use some of its features, in case Amazon goes ahead and charges me for them, without making it clear. Just like they are always trying to trick customers into signing up for a Prime membership Trial. I haven't been able to find the STV player."
Giapetto,4.0 out of 5 stars,Good when it works......,Reviewed in the United Kingdom on 29 November 2020,"Simple enough to install and operate (my Alexa has been banished to a drawer so that's not been part of the experience), but not too stable. I have had to uninstall and reinstall it three times now because of problems. Also the pairing /twinning function I find almost impossible to make work. We really need better user instructions, preferably written on paper."
Jack Brookes,5.0 out of 5 stars,Amazon Fire TV stick lite,Reviewed in the United Kingdom on 18 February 2021,"About this product of you weeks ago go Looks  just as good as any Amazon productsWhat does this product  doIt allows you to watch Amazon Prime  Netflix  BBC iPlayer  and much more  Play games How does the product differ from the competition3 How does the product differ from the competitionThe interface is much quicker as well It doesn’t lose much speed when using Wi-Fisetting up, it took almost no effort, which on one hand made was greatThe new Stick Lite supports the full range of 5 GHz channels from 36 to at least 157 that my Oppo 5G router puts out and the received signal strength is always very good I also have Amazon prime with Amazon music all integrated nicely also the latest update is nice and fresh if you like tv and movies it's a must I will probably never go out again!"
BPL,1.0 out of 5 stars,A TV stick with great potential but ....,Reviewed in the United Kingdom on 4 April 2021,What’s not to like about a convenient TV stick that is easy to set up and you can command with Alexa ease. Well for me it was it’s disappointing picture playback which juddered! Don’t get me wrong it was sharp and appealing but it simply wasn’t smooth! And that got irritating!Now for some you’ll love it for all the apps you get in one place or perhaps you want access to top telly in your mobile home or somewhere where an aerial or set top box just isn’t an option . If that’s you and you have a good WiFi connection then this may be your easy solution as you just plug into a HDMI and a power supply and away you go!!For me however my set top boxes simply out perform it . And I don’t like the rugged playback as it gets irritating as I’m not used to that compromise.So I award this device with potential a 1 star as after poor customer care and a waste of time technical support from Amazon all I have achieved is a lot of wasting time and trip to return it back in the mail .Goodbye Fire 🔥 Stick come visit me again when gasoline is poured over you and you can impress me more!
Baz,1.0 out of 5 stars,Disappointing support,Reviewed in the United Kingdom on 9 December 2020,"So after hours of trying to get this thing set up I gave up. First fault find was the plug supplied doesn’t power the Fire stick, used my own and got to the home page then no sound, tried to sort that out but it kept shutting down. So after losing many hours of my life I won’t be getting back thinking I was to blame, I contacted customer support. Jumped through some hoops to come full circle back to the beginning again and no working Fire stick. I was then informed that they will replace the Fire Stick but not the accessories. Mind boggling as the plug is part of the issue (You wouldn’t accept an iPhone that doesn’t let you charge it from an Apple plug) so now I am left with the inconvenience of having to post this junk back to them to get a refund, marvellous."
Lovely,5.0 out of 5 stars,Brilliant.,Reviewed in the United Kingdom on 14 November 2020,"Brilliant. I have switched from NowTV to this because they no longer offer vouchers and this is part of my Amazon prime and I already have Netflix so I am not paying for anything extra :) there are certain films etc you have to pay for, however, I won't, it defeats the object of having it! It's fast, the picture quality is brilliant and easy to set up - it just sits in the HDMI port, in the back of the TV and it takes you through the set up, when it is on. So far, so good! Very easy set up. Highly recommended"
Mystery shopper,5.0 out of 5 stars,Get one for every room,Reviewed in the United Kingdom on 11 February 2021,"I like devices that make me look competent by needing very little actual thinking to operate.  I had this out of its wrapper and installed in about 5 minutes...which is my world record.  I admit I struggled with remembering my Amazon password a bit but that was the hardest part since I always use my favourite swear words for a giggle and unusually had used something non-rude for this site.  Now I have Amazon and, cough, that other movie streaming site in my bedroom as well as the living room and kitchen and I am truly spoiled for entertainment. I watched Dirty Dancing for the 500th time tonight and have Top Gun and The Full Monty on standby.  Lockdown is so much more fun with an Amazon Fire Stick in every room in your house. Get one. Get several."
saxplayer67,4.0 out of 5 stars,Does The Job,Reviewed in the United Kingdom on 29 December 2020,"My son wanted Disney+ from Father Christmas, so the man in red got him a Fire Stick Lite and left the monthly subs up to me. :)  It was a good idea, otherwise he'd have had to watch it only on his phone, now it can be on our TV.  Picture etc fine, shame the remote doesn't have a power button but you have to fiddle around and get to the sleep option onscreen.Initially plugged the stick into a four way HDMI switcher (after rerouting all plugs, including the stick's, on a trailing extension socket) but it was staticky popping picture and sound, so redid connections, plugged the stick straight into one of the TV's HDMI ports and then routed everything else through the HDMI switcher, to the other HDMI port on the TV and all good.  SO the takeaway is that the stick doesn't like going through anything other than the TV's HDMI port."
richyt,5.0 out of 5 stars,Easy to use.,Reviewed in the United Kingdom on 4 May 2021,"I have a TV in the kitchen which is out of reach of a satellite or tv aerial connection, so I went for this as a solution. What a brilliant piece of kit. I went for the basic lite version; I don't need it to adjust the tv volume. Once connected to the tv via an hdmi socket, it was easy to connect to my home network. Once it had updated itself with the latest software, it was up and running. It was easy to find my Prime account, so I could carry on watching stuff from there. Access to other streaming services, such as BBC Iplayer and ITV hub just needed the relevant apps downloading. It comes with Alexa, but I don't need this, so just use the handset. Ideal for what I wanted."
Ed,5.0 out of 5 stars,"So, so, so much better than 1st Gen Fire TV Stick",Reviewed in the United Kingdom on 17 February 2021,"We tried the first generation fire tv stick, and it was so painfully slow to start up, or to open apps, that we went back to a Chromecast. This new one is light years ahead. It's still a tiny bit laggy at times, but the new layout makes it really easy to find content - you can watch live tv with TV Player, or with the apps for the channels (which you can't do with a Chromecast), and the voice recognition works well for Amazon content (although it won't work with finding tv programmes in iPlayer for example). Finally it has Alexa built in when you press the mic button, which may be helpful for some people (though we don't make use of it). Good value, especially when on sale."
Steven A. McKay,5.0 out of 5 stars,Stunning value!,Reviewed in the United Kingdom on 19 January 2021,"We got our teenage daughter's old TV for our bedroom when she got a new smart TV but it's pretty old, so I suggested getting a new one for us too. Wife didn't really think we needed one, so I got this instead. Wow, for under £20 or whatever it cost, it's fantastic. We have Prime, Netflix and Spotify so this is really everything we need and means we don't have to bother shelling out on a smart TV for a couple of years!I'd highly recommend this to anyone with an older TV looking for an upgrade but maybe not wanting to spend too much or even for grandparents with an older TV in a kids room so they can get Netflix and stuff on it when the kids visit after lockdown!"
Geoff S,4.0 out of 5 stars,Great for Rugby games,Reviewed in the United Kingdom on 2 December 2020,Really easy to install.  However first pictures of rugby were blurred and kept pausing before jumping on about every second so eventually gave up and watched on digital channel.  Next game much better but last weekend Wales v England it returned kept going away then returning. Will stick with it for final. Let’s hope okEverything else was a great picture do not know why like this for rugby games
Paul-Lancs,3.0 out of 5 stars,"Great To Make Old Samsung TV Smart, but..",Reviewed in the United Kingdom on 19 January 2021,"Wrong URL for starters. Amazon.co.uk/code is now /mytvSends an email and then, if that's not good enough, send a link via SMS which doesn't open.Gets to Amazon and wants to change my password. Derr, happy with the secure password I already have. Not happy with that episode of 'let's waste our customers time for longer'.Then, once I phoned India, time expired code.Anyway, finally it was connected *breath again* and it's turned normal Samsung TV into a Smart one. Now I don't lose Smart-ness when my HHD TV Record is recording.Unlike Panasonic, I can uninstall BBC iPlayer. Yay, and now it's out of the way."
George Paterson,5.0 out of 5 stars,Does it do as the advert says?  Answer: YES!!,Reviewed in the United Kingdom on 14 February 2021,"Plugged  it into the power socket and TV, switched to the right HDMI port and, Hey Presto, now have more choices  to select from.  You have to download which extra TV Channel Supplier you would like to access, these I  downloaded from Amazon.  Some are FREE, others you have to purchase.  I already had Amazon Prime (£7.99 per month, and worth every penny) and am ""trialling"" Amazon Music (3 month free trial, if you sign-up after that then a monthly payment of £7.99).  If you are fed-up with the continual repeats of TV shows, films, etc., then this Fire TV Stick Lite with Alexa Voice Remote Lite HD streaming device is your saviour.  Recommend it for those who like watching movies or listening to music, far greater choices than standard TV Channels!  The Alexa allows you to SPEAK  your requested choices rather than have to press buttons on the remote, plus has many other facilities you might find useful!  VERY PLEASED with mine!! George Paterson, Senior Gentleman."
Lee Hodson,4.0 out of 5 stars,So Much Better Than Expected,Reviewed in the United Kingdom on 18 March 2021,"My Firestick Lite is plugged into a projector's HDMI port with the USB power cable plugged into an OTG adaptor which is plugged into the projector's USB port. The Firestick works great. I use it for games, music and videos. My only upsets are that there is limited internal storage space and that the user interface could be better organised. With the addition of an external USB drive (via the OTG adaptor) and a gamepad, the Firestick Lite makes quite the home entertainment system.I would buy one of these again. I look forward to trying the next generation of Firestick Lite and hope it includes more RAM and more internal storage."
ziggy1982,5.0 out of 5 stars,Great item,Reviewed in the United Kingdom on 18 December 2020,"Fantastic product. Literally gave my 2013 model of LG smart TV a new lease of life. Since LG gradually removed all apps from the TV overtime, it rendered previously smart TV basically obsolete as only Netflix and Amazon apps were left. Now I can enjoy it all over again. Very happy as the older TV is still in excellent working order and new 4K TVs don’t come with 3D and I own plenty of 3D blu ray discs that I love, so fire stick literally saved it from going into garbage and saved me a pretty penny on buying a new TV. Also, one stick works on both TVs, one in the lounge and the other one in the bedroom. Simply perfect. Bought it only sale for £17.99, even cheaper than during Black Friday."
miss ms,5.0 out of 5 stars,"No tv aerial solution for watching tv and a lot more, brilliant.",Reviewed in the United Kingdom on 20 November 2020,"Brilliant piece of kit, tv aerial cable broke for the last 10 years, so been relying on old skybox for free view, which is limited and repetitive . And also having to rely on PS4 for other channels. The Firestick has given me more than enough free channels to keep me entertained all night. Love the replay and pause, and uktvplay channel. This is ideal if you haven't got a working tv aerial, all done through WiFi. Would of purchased sooner if I knew it was all received by WiFi. Registering and linking your chosen channel apps to your tv takes time, but once done it’s their forever, no logins after linking, highly recommend. Also you do not have to ask Alexa to view your apps which I do find annoying, you can just use the remote it does it all."
Max,5.0 out of 5 stars,Good image quality,Reviewed in the United Kingdom on 2 January 2021,"The Fire TV Stick Lite with Alexa Voice Remote Lite worth every penny. I should buy it earlier. The instruction is clear and easy to understand. After connecting the stick to the TV, just follow the instruction on TV and takes a few minutes to set up. Although it does not come with TV controls, it is not a problem for me at all. My TV is more than 10 years old, the image quality is a high standard, much better than I expected. The only downside is the limited language choices on Alexa voice control.Bought this as a Christmas present at the last minute, arrive promptly before Christmas. I am so impressed with Amazon's service. Thank you."
Steven Spencer,5.0 out of 5 stars,Don't wait,Reviewed in the United Kingdom on 7 April 2021,"I'm really impressed with this Fire stick lite. I had a second gen which was perfectly usuable but after getting a new Amazon tablet I thought I'd upgrade my fire stick as well.I set it up using the remote control I already had so keeping tv controls.There are little reminders asking me to mention Stream Quality, Voice recognition and Akexa integration. So consider them mentioned. But on make serious note all of these functions are good.As the software is based on android 9 adding extra storage is so simple.So my dumb bedroom tv has gone from dumb to smart to very smart and I'm very happy."
T. Bagge,5.0 out of 5 stars,It’s inexpensive and unobtrusive and does its job very well.,Reviewed in the United Kingdom on 11 November 2020,"I already have a 1st Generation Firestick, a 2nd Gen Firestick, a Fire TV and a 4K Firestick.The Firestick Lite is the only one with OS7 which means you can, with the aid of an OTG cable, easily supplement its storage with additional USB storage. (You can do this, too, with the Firestick 4K but, because it has got only OS6, it’s more complicated.).The Firestick Lite is very responsive and, particularly as it’s inexpensive, is well worth getting."
Ellie,5.0 out of 5 stars,Does the job!,Reviewed in the United Kingdom on 4 January 2021,"I have a relatively old TV now, that doesn't support 4K, so I didn't see the point in paying extra for other firesticks. Plus, this was on a Black Friday deal and the others were sold out. The Lite does the job for me, works perfectly, very user friendly, and I like the fact that it gives you a ton of recommendations across all your downloaded apps in one place on the home screen (similar to what Netflix does). Have had a few connection issues, which I concluded have been down to our internet and not the firestick. My bedroom often gets patchy connection, and since I moved my smart speaker away from my TV, some of the issues have gone - which is one of the troubleshooting ideas that the firestick does suggest with connection issues (moving other wifi devices away).I like the fact that I can move it between TV's effortlessly if anyone wants to watch from certain streaming services - saves connecting the laptop via hdmi!"
Jcobbs,5.0 out of 5 stars,Easy to use (FANTASTIC) FOR MOVIE LOVERS.👌,Reviewed in the United Kingdom on 19 December 2020,(Fire stick) Movies and more.This fire stick is really good.I've had no issues at all with the picture quality ⭐⭐⭐⭐⭐Easy to use remote control.I purchased this for my best friend for a Christmas present🎁 🎄as I have already purchased one from Amazon for myself within the last 2 months ago. So I am able to give an honest review of this product.Outstanding value for money.I purchased my 2nd one in the xmas sales.£19.99. Previous price was £29.99If I can use the fire stick anyone can as I am not technical at all.Injoy!!! 👌😊⭐⭐⭐⭐⭐
Tarquin99,5.0 out of 5 stars,Simple to install and use - and very responsive,Reviewed in the United Kingdom on 1 December 2020,"This model doesn't come with TV volume control or other bells and whistles, but is very simple to install and use.  When first connected, it updated the software.  You then select which Apps you wish to install.  If you haven't already got an account (e.g. for BBC iPlayer) you will need to set one up.  It is responsive and with Alexa can be operated by voice.  As my TV is near my router, I bought the ethernet adaptor too, so I could plug it straight into the router rather than use wi-fi.  The stick's power supply then plugs into the adaptor instead of the stick itself.  My primary use is to access BBC iPlayer, though having Youtube and other channels is useful, as is being able to 'cast' from my PC to the TV via the stick.  So far, very pleased."
dpoet,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 16 October 2020,"I love in a poor reception area for freeview, every time we get high pressure I lose most of my channels. For £29.99 this is brilliant I can get most of freeview on fire tv. I can also receive lots of other free services. If fire tv is on I can either use voice via remote or control via the remote on my HD8 tablet. I can just say ""Alexa find me a good action film"" to my echo dot, and resulting film choices appear on my fire tv."
Paul,4.0 out of 5 stars,"Relatively easy set up, and im computer thick.",Reviewed in the United Kingdom on 15 November 2020,"Seeing as the first one just stopped working and tried all the  hints on the amazon forum and failed to get it working i bough a newer one, and it works ok, seemed to be easier to set up and launch, volume and mute on the R/C as well as mute and tv off and on.So many channels now available some paid for and a lot free, but it always asks do you want to purchase.For 20 quids well worth the money."
Graham,4.0 out of 5 stars,Good but,Reviewed in the United Kingdom on 26 December 2020,"We have a problem with our Fire stick lite which we don't have with our original fire stick bought a couple of years ago. To get it to work properly we have to unplug the router, wait about 30s, and then plug it in again. We may have to repeat this after an hour or so of watching a program. I have tried swapping it with the other fire stick in our other TV but the same thing happens. Very odd and a bit annoying."
martyna_C,2.0 out of 5 stars,"waste or money, does what it wants",Reviewed in the United Kingdom on 29 November 2020,"I cant view home at all.  Alexa only does what i ask her to do sometimes...not every time. Cant access half the apps and it keeps says Internet connection issue but when i go to settings and try to see what the problem is, it says its connected and the connection is very good. No idea what is wrong with this cheap set but ive used few fire sticks and apple tv box before and never ever had any issues as such. Waste or money"
Clive Williams,5.0 out of 5 stars,"Excellent picture quality, flaky network connectivity.",Reviewed in the United Kingdom on 24 January 2021,"I was so impressed with the performance and picture quality that I decided to buy a 4k version for the living room.Only gripe is that I have to occasionally reboot my router as network throughput degrades over time (not the fault of the firestick). When the network is back, the firestick cannot reconnect to the network even though it detects it and reports it as healthy.The resolution is to restart the firestick via the UI or power reset it via the wall socket.The firmware was recently upgraded to the new UI, I hoped that it would resolve the issue; unfortunately the problem still presents on the upgraded software.This issue does not present on the 4k version."
